title_en, title_cn, day_num, start_time, end_time, bookable
DANCE-NewJazz ｜热舞-爵士街舞,DANCE-NewJazz ｜热舞-爵士街舞,0,19:00,20:00,True
SCULPT- Core | 塑形-核心,SCULPT- Core | 塑形-核心,0,09:30,10:20,False
DANCE-Beats | 热舞-鼓棒律动,DANCE-Beats | 热舞-鼓棒律动,0,10:45,11:30,False
YOGA-Shoulder Therapy | 瑜伽-肩颈理疗,YOGA-Shoulder Therapy | 瑜伽-肩颈理疗,0,12:15,13:15,False
YOGA-Spine Therapy | 瑜伽-脊柱理疗,YOGA-Spine Therapy | 瑜伽-脊柱理疗,1,09:30,10:30,True
AERIAL-Choreo (im) | 空中-舞 (沉浸式）,AERIAL-Choreo (im) | 空中-舞 (沉浸式）,1,10:45,11:45,True
SCULPT- Knockout | 塑形-搏击,SCULPT- Knockout | 塑形-搏击,1,12:15,13:05,True
SCULPT- TRX | 塑形-TRX,SCULPT- TRX | 塑形-TRX,1,13:30,14:20,True
YOGA-Power | 瑜伽-力量,YOGA-Power | 瑜伽-力量,2,10:15,11:30,True
DANCE-Fit｜热舞-塑形,DANCE-Fit｜热舞-塑形,2,12:15,13:15,True
PILATES- Booty Sculpt | 普拉提-臀腿塑型,PILATES- Booty Sculpt | 普拉提-臀腿塑型,2,13:30,14:20,True
YOGA- Wheels Flow | 瑜伽-轮习练,YOGA- Wheels Flow | 瑜伽-轮习练,2,15:00,16:00,True
SCULPT- Core | 塑形-核心,SCULPT- Core | 塑形-核心,2,16:00,16:50,True
YOGA - Hansa flow | 瑜伽- 理疗流,YOGA - Hansa flow | 瑜伽- 理疗流,3,09:30,10:30,True
PILATES-Core | 普拉提-核心,PILATES-Core | 普拉提-核心,3,10:45,11:45,True
SCULPT-Muay Thai | 塑形-泰拳,SCULPT-Muay Thai | 塑形-泰拳,3,12:15,13:15,True
BARRE-Basic | 把杆-塑形I,BARRE-Basic | 把杆-塑形I,3,18:30,19:25,True
DANCE-Beats | 热舞-鼓棒律动,DANCE-Beats | 热舞-鼓棒律动,3,19:45,20:30,True
YOGA-Wallrope | 瑜伽-墙绳,YOGA-Wallrope | 瑜伽-墙绳,4,09:30,10:30,True
DANCE-Zumba｜热舞-尊巴,DANCE-Zumba｜热舞-尊巴,4,10:45,11:45,True
BARRE-Basic | 把杆-塑形I,BARRE-Basic | 把杆-塑形I,4,12:15,13:10,True
PILATES- Booty Sculpt | 普拉提-臀腿塑型,PILATES- Booty Sculpt | 普拉提-臀腿塑型,4,19:00,19:50,True
YOGA - Singing Bowl Therapy | 瑜伽-颂钵音疗,YOGA - Singing Bowl Therapy | 瑜伽-颂钵音疗,4,20:00,20:45,True
PILATES-Core | 普拉提-核心,PILATES-Core | 普拉提-核心,5,09:30,10:30,True
DANCE-Fit｜热舞-塑形,DANCE-Fit｜热舞-塑形,5,10:45,11:45,True
AERIAL-Choreo (im) | 空中-舞 (沉浸式）,AERIAL-Choreo (im) | 空中-舞 (沉浸式）,5,12:15,13:15,True
VIS Special Children Hiphop Dance | 少儿街舞,VIS Special Children Hiphop Dance | 少儿街舞,5,18:15,19:15,True
SCULPT- Core | 塑形-核心,SCULPT- Core | 塑形-核心,5,19:30,20:20,True
AERIAL-Yoga I |空中-瑜伽I,AERIAL-Yoga I |空中-瑜伽I,5,20:20,21:20,True
YOGA-Flow | 瑜伽-流,YOGA-Flow | 瑜伽-流,6,09:30,10:25,True
DANCE- Ballet | 热舞-芭蕾,DANCE- Ballet | 热舞-芭蕾,6,10:45,11:45,True
SCULPT-Kettlebell | 塑形-壶铃,SCULPT-Kettlebell | 塑形-壶铃,6,12:15,13:15,True
DANCE-Zumba｜热舞-尊巴,DANCE-Zumba｜热舞-尊巴,6,18:30,19:30,True
YOGA-Yin | 瑜伽-阴,YOGA-Yin | 瑜伽-阴,6,19:30,20:30,True
